Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,22,6,Some Random Commen with Id 0
1,0,9,169,2,Some Random Commen with Id 1
2,0,9,66,6,Some Random Commen with Id 2
3,0,9,38,1,Some Random Commen with Id 3
4,1,4,26,9,Some Random Commen with Id 4
5,2,7,100,7,Some Random Commen with Id 5
6,2,7,125,2,Some Random Commen with Id 6
7,3,1,128,2,Some Random Commen with Id 7
8,4,3,163,0,Some Random Commen with Id 8
9,4,3,22,4,Some Random Commen with Id 9
10,4,3,19,0,Some Random Commen with Id 10
11,4,3,97,9,Some Random Commen with Id 11
12,4,3,175,4,Some Random Commen with Id 12
13,4,3,57,8,Some Random Commen with Id 13
14,4,3,18,8,Some Random Commen with Id 14
15,4,3,75,3,Some Random Commen with Id 15
16,7,3,109,9,Some Random Commen with Id 16
17,7,3,163,5,Some Random Commen with Id 17
18,7,3,0,2,Some Random Commen with Id 18
19,7,3,11,0,Some Random Commen with Id 19
20,7,3,129,7,Some Random Commen with Id 20
21,8,2,16,6,Some Random Commen with Id 21
22,8,2,109,4,Some Random Commen with Id 22
23,8,2,195,7,Some Random Commen with Id 23
24,8,2,147,5,Some Random Commen with Id 24
25,8,2,193,1,Some Random Commen with Id 25
26,8,2,194,9,Some Random Commen with Id 26
27,8,2,153,1,Some Random Commen with Id 27
28,8,2,143,4,Some Random Commen with Id 28
29,9,8,13,8,Some Random Commen with Id 29
30,9,8,33,6,Some Random Commen with Id 30
31,9,8,31,3,Some Random Commen with Id 31
32,9,8,134,9,Some Random Commen with Id 32
33,10,0,141,5,Some Random Commen with Id 33
34,10,0,191,0,Some Random Commen with Id 34
35,10,0,191,0,Some Random Commen with Id 35
36,10,0,33,1,Some Random Commen with Id 36
37,10,0,10,1,Some Random Commen with Id 37
38,11,8,61,3,Some Random Commen with Id 38
39,12,4,108,0,Some Random Commen with Id 39
40,12,4,124,3,Some Random Commen with Id 40
41,13,9,128,2,Some Random Commen with Id 41
42,13,9,50,7,Some Random Commen with Id 42
43,15,1,99,3,Some Random Commen with Id 43
44,15,1,192,0,Some Random Commen with Id 44
45,15,1,119,4,Some Random Commen with Id 45
46,17,8,80,6,Some Random Commen with Id 46
47,17,8,157,0,Some Random Commen with Id 47
48,17,8,91,6,Some Random Commen with Id 48
49,17,8,177,1,Some Random Commen with Id 49
50,17,8,31,1,Some Random Commen with Id 50
51,17,8,182,4,Some Random Commen with Id 51
52,17,8,84,8,Some Random Commen with Id 52
53,18,6,22,5,Some Random Commen with Id 53
54,19,7,186,7,Some Random Commen with Id 54
55,19,7,24,2,Some Random Commen with Id 55
56,19,7,94,7,Some Random Commen with Id 56
57,19,7,108,4,Some Random Commen with Id 57
58,19,7,102,0,Some Random Commen with Id 58
59,19,7,162,2,Some Random Commen with Id 59
60,19,7,178,7,Some Random Commen with Id 60
61,19,7,179,2,Some Random Commen with Id 61
62,19,7,140,6,Some Random Commen with Id 62
63,20,0,16,0,Some Random Commen with Id 63
64,20,0,137,0,Some Random Commen with Id 64
65,21,5,45,0,Some Random Commen with Id 65
66,21,5,168,3,Some Random Commen with Id 66
67,21,5,64,9,Some Random Commen with Id 67
68,21,5,55,4,Some Random Commen with Id 68
69,21,5,123,6,Some Random Commen with Id 69
70,21,5,107,0,Some Random Commen with Id 70
71,21,5,116,8,Some Random Commen with Id 71
72,21,5,198,6,Some Random Commen with Id 72
73,23,8,108,5,Some Random Commen with Id 73
74,23,8,183,8,Some Random Commen with Id 74
75,23,8,199,1,Some Random Commen with Id 75
76,23,8,138,4,Some Random Commen with Id 76
77,23,8,8,6,Some Random Commen with Id 77
78,23,8,151,6,Some Random Commen with Id 78
79,23,8,102,5,Some Random Commen with Id 79
